listing_id,aspect,NSS_score
27934,amenities,0.5
27934,check_in,0.6666666666666666
27934,cleanliness,1.0
27934,communication,1.0
27934,location,0.94
27934,value,1.0
48736,cleanliness,1.0
55681,amenities,0.3333333333333333
55681,check_in,1.0
55681,cleanliness,1.0
55681,communication,1.0
55681,location,0.68
55681,value,1.0
105042,amenities,1.0
105042,check_in,0.8666666666666667
105042,cleanliness,0.9402985074626866
105042,communication,0.9487179487179488
105042,location,0.6888888888888889
105042,value,1.0
121410,location,1.0
145343,amenities,1.0
145343,check_in,1.0
145343,cleanliness,1.0
145343,communication,1.0
145343,location,0.9130434782608696
145343,value,1.0
156583,amenities,0.6190476190476191
156583,check_in,0.6666666666666666
156583,cleanliness,0.9285714285714286
156583,communication,0.6
156583,location,0.8378378378378378
156583,value,0.3333333333333333
172332,amenities,1.0
172332,check_in,1.0
172332,cleanliness,1.0
172332,communication,1.0
172332,location,0.0
172332,value,1.0
296960,amenities,1.0
296960,check_in,1.0
296960,cleanliness,1.0
296960,communication,0.9285714285714286
296960,location,0.6551724137931034
296960,value,1.0
320014,amenities,0.6666666666666666
320014,check_in,0.7777777777777778
320014,cleanliness,1.0
320014,communication,0.875
320014,location,0.88
320014,value,1.0
384924,amenities,0.8571428571428571
384924,check_in,1.0
384924,cleanliness,1.0
384924,communication,0.9555555555555556
384924,location,0.9310344827586208
384924,value,1.0
385130,amenities,0.8032786885245902
385130,check_in,0.8823529411764706
385130,cleanliness,0.8490566037735849
385130,communication,0.984375
385130,location,0.9477124183006536
385130,value,0.9101123595505618
385979,amenities,0.6666666666666666
385979,check_in,1.0
385979,cleanliness,0.9534883720930232
385979,communication,1.0
385979,location,0.8596491228070176
385979,value,1.0
390611,amenities,1.0
390611,check_in,0.75
390611,cleanliness,0.9393939393939394
390611,communication,0.92
390611,location,0.8524590163934426
390611,value,0.8421052631578947
393066,amenities,0.7647058823529411
393066,check_in,0.625
393066,cleanliness,0.9562043795620438
393066,communication,0.9173553719008264
393066,location,0.925531914893617
393066,value,0.9692307692307692
397449,amenities,0.5
397449,check_in,1.0
397449,cleanliness,1.0
397449,communication,1.0
397449,location,1.0
397449,value,0.7777777777777778
405662,amenities,1.0
405662,check_in,1.0
405662,cleanliness,1.0
405662,communication,1.0
405662,location,0.9310344827586208
405662,value,1.0
407381,amenities,1.0
407381,check_in,1.0
407381,cleanliness,1.0
407381,communication,1.0
407381,location,0.8181818181818182
407381,value,1.0
413824,amenities,0.8333333333333334
413824,check_in,1.0
413824,cleanliness,0.9587628865979382
413824,communication,0.8969072164948454
413824,location,0.9053254437869822
413824,value,0.9452054794520548
428360,amenities,1.0
428360,cleanliness,0.8571428571428571
428360,communication,0.8947368421052632
428360,location,1.0
428360,value,1.0
428421,amenities,1.0
428421,check_in,1.0
428421,cleanliness,0.8
428421,communication,0.8
428421,location,0.6666666666666666
428421,value,0.6666666666666666
428950,amenities,1.0
428950,check_in,1.0
428950,cleanliness,0.9710144927536232
428950,communication,0.8113207547169812
428950,location,0.7446808510638298
428950,value,1.0
430691,amenities,1.0
430691,check_in,-1.0
430691,cleanliness,1.0
430691,communication,0.9
430691,location,0.6923076923076923
430691,value,1.0
430703,amenities,1.0
430703,check_in,1.0
430703,cleanliness,1.0
430703,communication,0.75
430703,location,0.7894736842105263
430703,value,1.0
430706,amenities,1.0
430706,cleanliness,1.0
430706,communication,1.0
430706,location,1.0
430706,value,1.0
432004,amenities,0.3333333333333333
432004,check_in,1.0
432004,cleanliness,1.0
432004,location,0.8181818181818182
432004,value,1.0
439051,amenities,0.8461538461538461
439051,check_in,1.0
439051,cleanliness,1.0
439051,communication,0.9615384615384616
439051,location,0.8518518518518519
439051,value,0.9090909090909092
449782,amenities,0.6666666666666666
449782,check_in,0.0
449782,cleanliness,0.8823529411764706
449782,communication,0.84
449782,location,0.7894736842105263
449782,value,1.0
449793,amenities,1.0
449793,cleanliness,1.0
449793,communication,1.0
449793,location,0.7777777777777778
449793,value,1.0
449826,amenities,1.0
449826,check_in,1.0
449826,cleanliness,1.0
449826,communication,1.0
449826,location,1.0
449826,value,0.6
450464,amenities,1.0
450464,check_in,1.0
450464,cleanliness,0.8888888888888888
450464,communication,1.0
450464,location,0.8333333333333334
450464,value,1.0
527553,amenities,1.0
527553,check_in,1.0
527553,cleanliness,1.0
527553,communication,0.8666666666666667
527553,location,0.8095238095238095
527553,value,-1.0
580270,amenities,0.6
580270,check_in,1.0
580270,cleanliness,0.9047619047619048
580270,communication,0.8181818181818182
580270,location,0.9166666666666666
580270,value,1.0
581755,amenities,1.0
581755,location,1.0
605314,amenities,0.85
605314,check_in,0.5555555555555556
605314,cleanliness,0.981132075471698
605314,communication,0.9333333333333332
605314,location,0.875
605314,value,0.9076923076923076
605343,amenities,0.9090909090909092
605343,check_in,1.0
605343,cleanliness,0.8840579710144928
605343,communication,1.0
605343,location,0.925925925925926
605343,value,0.902439024390244
608624,cleanliness,1.0
608624,communication,0.2
608624,location,1.0
688013,amenities,0.8181818181818182
688013,check_in,0.7777777777777778
688013,cleanliness,0.9649122807017544
688013,communication,0.9487179487179488
688013,location,0.9325842696629212
688013,value,0.8461538461538461
691478,amenities,-1.0
691478,cleanliness,0.6666666666666666
691478,location,0.0
691478,value,0.3333333333333333
715652,amenities,1.0
715652,cleanliness,1.0
715652,communication,1.0
715652,location,-0.3333333333333333
722291,amenities,0.6363636363636364
722291,check_in,1.0
722291,cleanliness,1.0
722291,communication,1.0
722291,location,0.92
722291,value,1.0
723070,cleanliness,1.0
723070,communication,1.0
723070,location,1.0
729015,amenities,1.0
729015,check_in,1.0
729015,cleanliness,1.0
729015,communication,1.0
729015,location,0.8095238095238095
729015,value,0.8181818181818182
742693,cleanliness,1.0
742693,location,1.0
758483,amenities,1.0
758483,check_in,1.0
758483,cleanliness,0.8
758483,communication,1.0
758483,location,0.9487179487179488
758483,value,1.0
768019,amenities,1.0
768019,communication,1.0
768019,location,1.0
