listing_id,neighbourhood,aspect,NA,PA,NSS
27934,Ratchathewi,amenities,2,6,0.5
27934,Ratchathewi,check_in,1,5,0.6666666666666666
27934,Ratchathewi,cleanliness,0,31,1.0
27934,Ratchathewi,communication,0,32,1.0
27934,Ratchathewi,location,3,97,0.94
27934,Ratchathewi,value,0,9,1.0
48736,Rat Burana,cleanliness,0,1,1.0
55681,Bang Rak,amenities,1,2,0.3333333333333333
55681,Bang Rak,check_in,0,3,1.0
55681,Bang Rak,cleanliness,0,6,1.0
55681,Bang Rak,communication,0,13,1.0
55681,Bang Rak,location,4,21,0.68
55681,Bang Rak,value,0,7,1.0
105042,Khlong Toei,amenities,0,16,1.0
105042,Khlong Toei,check_in,1,14,0.8666666666666667
105042,Khlong Toei,cleanliness,2,65,0.9402985074626866
105042,Khlong Toei,communication,2,76,0.9487179487179487
105042,Khlong Toei,location,21,114,0.6888888888888889
105042,Khlong Toei,value,0,18,1.0
121410,Bang Kapi,location,0,1,1.0
145343,Lat Krabang,amenities,0,1,1.0
145343,Lat Krabang,check_in,0,3,1.0
145343,Lat Krabang,cleanliness,0,19,1.0
145343,Lat Krabang,communication,0,5,1.0
145343,Lat Krabang,location,1,22,0.9130434782608695
145343,Lat Krabang,value,0,3,1.0
156583,Bang Rak,amenities,4,17,0.6190476190476191
156583,Bang Rak,check_in,2,10,0.6666666666666666
156583,Bang Rak,cleanliness,1,27,0.9285714285714286
156583,Bang Rak,communication,5,20,0.6
156583,Bang Rak,location,3,34,0.8378378378378378
156583,Bang Rak,value,1,2,0.3333333333333333
172332,Bang Sue,amenities,0,4,1.0
172332,Bang Sue,check_in,0,1,1.0
172332,Bang Sue,cleanliness,0,8,1.0
172332,Bang Sue,communication,0,13,1.0
172332,Bang Sue,location,3,3,0.0
172332,Bang Sue,value,0,5,1.0
296960,Chatu Chak,amenities,0,11,1.0
296960,Chatu Chak,check_in,0,5,1.0
296960,Chatu Chak,cleanliness,0,22,1.0
296960,Chatu Chak,communication,1,27,0.9285714285714286
296960,Chatu Chak,location,5,24,0.6551724137931034
296960,Chatu Chak,value,0,8,1.0
320014,Khlong Toei,amenities,1,5,0.6666666666666666
320014,Khlong Toei,check_in,1,8,0.7777777777777778
320014,Khlong Toei,cleanliness,0,36,1.0
320014,Khlong Toei,communication,2,30,0.875
320014,Khlong Toei,location,3,47,0.88
320014,Khlong Toei,value,0,8,1.0
384924,Ratchathewi,amenities,1,13,0.8571428571428571
384924,Ratchathewi,check_in,0,9,1.0
384924,Ratchathewi,cleanliness,0,32,1.0
384924,Ratchathewi,communication,1,44,0.9555555555555556
384924,Ratchathewi,location,2,56,0.9310344827586207
384924,Ratchathewi,value,0,13,1.0
385130,Sathon,amenities,6,55,0.8032786885245902
385130,Sathon,check_in,1,16,0.8823529411764706
385130,Sathon,cleanliness,8,98,0.8490566037735849
385130,Sathon,communication,1,127,0.984375
385130,Sathon,location,4,149,0.9477124183006536
385130,Sathon,value,4,85,0.9101123595505618
385979,Khlong San,amenities,3,15,0.6666666666666666
385979,Khlong San,check_in,0,9,1.0
385979,Khlong San,cleanliness,1,42,0.9534883720930233
385979,Khlong San,communication,0,32,1.0
385979,Khlong San,location,4,53,0.8596491228070176
385979,Khlong San,value,0,11,1.0
390611,Khlong Toei,amenities,0,34,1.0
390611,Khlong Toei,check_in,1,7,0.75
390611,Khlong Toei,cleanliness,2,64,0.9393939393939394
390611,Khlong Toei,communication,2,48,0.92
390611,Khlong Toei,location,9,113,0.8524590163934426
390611,Khlong Toei,value,3,35,0.8421052631578947
393066,Sathon,amenities,6,45,0.7647058823529411
393066,Sathon,check_in,3,13,0.625
393066,Sathon,cleanliness,3,134,0.9562043795620438
393066,Sathon,communication,5,116,0.9173553719008265
393066,Sathon,location,7,181,0.925531914893617
393066,Sathon,value,1,64,0.9692307692307692
397449,Sathon,amenities,1,3,0.5
397449,Sathon,check_in,0,1,1.0
397449,Sathon,cleanliness,0,21,1.0
397449,Sathon,communication,0,24,1.0
397449,Sathon,location,0,31,1.0
397449,Sathon,value,1,8,0.7777777777777778
405662,Vadhana,amenities,0,5,1.0
405662,Vadhana,check_in,0,1,1.0
405662,Vadhana,cleanliness,0,12,1.0
405662,Vadhana,communication,0,23,1.0
405662,Vadhana,location,1,28,0.9310344827586207
405662,Vadhana,value,0,8,1.0
407381,Vadhana,amenities,0,2,1.0
407381,Vadhana,check_in,0,1,1.0
407381,Vadhana,cleanliness,0,7,1.0
407381,Vadhana,communication,0,8,1.0
407381,Vadhana,location,1,10,0.8181818181818182
407381,Vadhana,value,0,1,1.0
413824,Sathon,amenities,3,33,0.8333333333333334
413824,Sathon,check_in,0,11,1.0
413824,Sathon,cleanliness,2,95,0.9587628865979382
413824,Sathon,communication,5,92,0.8969072164948454
413824,Sathon,location,8,161,0.9053254437869822
413824,Sathon,value,2,71,0.9452054794520548
428360,Yan na wa,amenities,0,9,1.0
428360,Yan na wa,cleanliness,1,13,0.8571428571428571
428360,Yan na wa,communication,1,18,0.8947368421052632
428360,Yan na wa,location,0,9,1.0
428360,Yan na wa,value,0,3,1.0
428421,Bang Kho laen,amenities,0,6,1.0
428421,Bang Kho laen,check_in,0,1,1.0
428421,Bang Kho laen,cleanliness,2,18,0.8
428421,Bang Kho laen,communication,2,18,0.8
428421,Bang Kho laen,location,3,15,0.6666666666666666
428421,Bang Kho laen,value,1,5,0.6666666666666666
428950,Bang Kho laen,amenities,0,17,1.0
428950,Bang Kho laen,check_in,0,5,1.0
428950,Bang Kho laen,cleanliness,1,68,0.9710144927536232
428950,Bang Kho laen,communication,5,48,0.8113207547169812
428950,Bang Kho laen,location,6,41,0.7446808510638298
428950,Bang Kho laen,value,0,15,1.0
430691,Bang Kho laen,amenities,0,3,1.0
430691,Bang Kho laen,check_in,1,0,-1.0
430691,Bang Kho laen,cleanliness,0,18,1.0
430691,Bang Kho laen,communication,1,19,0.9
430691,Bang Kho laen,location,2,11,0.6923076923076923
430691,Bang Kho laen,value,0,2,1.0
430703,Bang Kho laen,amenities,0,7,1.0
430703,Bang Kho laen,check_in,0,5,1.0
430703,Bang Kho laen,cleanliness,0,28,1.0
430703,Bang Kho laen,communication,3,21,0.75
430703,Bang Kho laen,location,4,34,0.7894736842105263
430703,Bang Kho laen,value,0,10,1.0
430706,Bang Kho laen,amenities,0,2,1.0
430706,Bang Kho laen,cleanliness,0,5,1.0
430706,Bang Kho laen,communication,0,5,1.0
430706,Bang Kho laen,location,0,2,1.0
430706,Bang Kho laen,value,0,1,1.0
432004,Sathon,amenities,1,2,0.3333333333333333
432004,Sathon,check_in,0,1,1.0
432004,Sathon,cleanliness,0,10,1.0
432004,Sathon,location,1,10,0.8181818181818182
432004,Sathon,value,0,3,1.0
439051,Yan na wa,amenities,2,24,0.8461538461538461
439051,Yan na wa,check_in,0,10,1.0
439051,Yan na wa,cleanliness,0,24,1.0
439051,Yan na wa,communication,1,51,0.9615384615384616
439051,Yan na wa,location,4,50,0.8518518518518519
439051,Yan na wa,value,1,21,0.9090909090909091
449782,Bang Kho laen,amenities,2,10,0.6666666666666666
449782,Bang Kho laen,check_in,1,1,0.0
449782,Bang Kho laen,cleanliness,2,32,0.8823529411764706
449782,Bang Kho laen,communication,2,23,0.84
449782,Bang Kho laen,location,4,34,0.7894736842105263
449782,Bang Kho laen,value,0,10,1.0
449793,Bang Kho laen,amenities,0,3,1.0
449793,Bang Kho laen,cleanliness,0,6,1.0
449793,Bang Kho laen,communication,0,4,1.0
449793,Bang Kho laen,location,1,8,0.7777777777777778
449793,Bang Kho laen,value,0,1,1.0
449826,Bang Kho laen,amenities,0,4,1.0
449826,Bang Kho laen,check_in,0,2,1.0
449826,Bang Kho laen,cleanliness,0,10,1.0
449826,Bang Kho laen,communication,0,23,1.0
449826,Bang Kho laen,location,0,14,1.0
449826,Bang Kho laen,value,1,4,0.6
450464,Bang Kho laen,amenities,0,12,1.0
450464,Bang Kho laen,check_in,0,2,1.0
450464,Bang Kho laen,cleanliness,1,17,0.8888888888888888
450464,Bang Kho laen,communication,0,28,1.0
450464,Bang Kho laen,location,2,22,0.8333333333333334
450464,Bang Kho laen,value,0,5,1.0
527553,Chatu Chak,amenities,0,10,1.0
527553,Chatu Chak,check_in,0,3,1.0
527553,Chatu Chak,cleanliness,0,16,1.0
527553,Chatu Chak,communication,1,14,0.8666666666666667
527553,Chatu Chak,location,2,19,0.8095238095238095
527553,Chatu Chak,value,1,0,-1.0
580270,Sathon,amenities,2,8,0.6
580270,Sathon,check_in,0,2,1.0
580270,Sathon,cleanliness,1,20,0.9047619047619048
580270,Sathon,communication,3,30,0.8181818181818182
580270,Sathon,location,2,46,0.9166666666666666
580270,Sathon,value,0,26,1.0
581755,Bang Kapi,amenities,0,1,1.0
581755,Bang Kapi,location,0,1,1.0
605314,Sathon,amenities,3,37,0.85
605314,Sathon,check_in,4,14,0.5555555555555556
605314,Sathon,cleanliness,1,105,0.9811320754716981
605314,Sathon,communication,4,116,0.9333333333333333
605314,Sathon,location,10,150,0.875
605314,Sathon,value,3,62,0.9076923076923077
605343,Sathon,amenities,1,21,0.9090909090909091
605343,Sathon,check_in,0,8,1.0
605343,Sathon,cleanliness,4,65,0.8840579710144928
605343,Sathon,communication,0,54,1.0
605343,Sathon,location,3,78,0.9259259259259259
605343,Sathon,value,2,39,0.9024390243902439
608624,Thon buri,cleanliness,0,1,1.0
608624,Thon buri,communication,2,3,0.2
608624,Thon buri,location,0,5,1.0
688013,Bang Na,amenities,1,10,0.8181818181818182
688013,Bang Na,check_in,1,8,0.7777777777777778
